"trait","group1","group2","n1","n2","Z","p","p_adj_BH","p_adj_signif","highlight"
"Protein","North","Coast",40,50,-2.5501,0.0107687253838993,0.0323061761516978,"*",""
"Protein","North","Desert",40,50,0.518,0.604454519554788,0.64762984238013,"ns","North_vs_Desert"
"Protein","North","HZ1 (North-Coast)",40,50,-0.6524,0.51417211374661,0.593275515861474,"ns",""
"Protein","North","HZ2 (North-Desert)",40,50,2.2775,0.0227575158308604,0.0568937895771509,"ns",""
"Protein","North","HZ3 (Coast-Desert)",40,50,-0.8075,0.419376305685147,0.524220382106434,"ns",""
"Protein","Coast","Desert",50,50,3.2542,0.00113698761920219,0.00568493809601096,"**",""
"Protein","Coast","HZ1 (North-Coast)",50,50,2.0129,0.0441273816123713,0.0945586748836527,"ns",""
"Protein","Coast","HZ2 (North-Desert)",50,50,5.1204,3.04824706669237e-07,4.57237060003856e-06,"****",""
"Protein","Coast","HZ3 (Coast-Desert)",50,50,1.8483,0.0645562374660762,0.107593729110127,"ns",""
"Protein","Desert","HZ1 (North-Coast)",50,50,-1.2414,0.214474725146169,0.29246553429023,"ns",""
"Protein","Desert","HZ2 (North-Desert)",50,50,1.8662,0.0620125839165492,0.107593729110127,"ns",""
"Protein","Desert","HZ3 (Coast-Desert)",50,50,-1.4059,0.159749440064381,0.239624160096571,"ns",""
"Protein","HZ1 (North-Coast)","HZ2 (North-Desert)",50,50,3.1076,0.00188638361596583,0.00707393855987187,"**",""
"Protein","HZ1 (North-Coast)","HZ3 (Coast-Desert)",50,50,-0.1646,0.869290320042066,0.869290320042066,"ns",""
"Protein","HZ2 (North-Desert)","HZ3 (Coast-Desert)",50,50,-3.2721,0.0010674406658578,0.00568493809601096,"**",""
"Starch","North","Coast",40,50,-3.938,8.21557972428687e-05,0.000205389493107172,"***",""
"Starch","North","Desert",40,50,-6.9066,4.96242042392492e-12,7.44363063588738e-11,"****","North_vs_Desert"
"Starch","North","HZ1 (North-Coast)",40,50,-1.5017,0.133164701417309,0.166455876771636,"ns",""
"Starch","North","HZ2 (North-Desert)",40,50,-0.6231,0.533202751755851,0.533202751755851,"ns",""
"Starch","North","HZ3 (Coast-Desert)",40,50,-4.7587,1.94808096515145e-06,7.30530361931792e-06,"****",""
"Starch","Coast","Desert",50,50,-3.1487,0.0016399751955167,0.00273329199252783,"**",""
"Starch","Coast","HZ1 (North-Coast)",50,50,2.5841,0.00976420076486304,0.0146463011472946,"*",""
"Starch","Coast","HZ2 (North-Desert)",50,50,3.516,0.000438132926912009,0.000938856271954305,"***",""
"Starch","Coast","HZ3 (Coast-Desert)",50,50,-0.8705,0.3840278455673,0.411458405964965,"ns",""
"Starch","Desert","HZ1 (North-Coast)",50,50,5.7328,9.88026663353956e-09,4.94013331676978e-08,"****",""
"Starch","Desert","HZ2 (North-Desert)",50,50,6.6647,2.65238455244509e-11,1.98928841433382e-10,"****",""
"Starch","Desert","HZ3 (Coast-Desert)",50,50,2.2782,0.0227144962905321,0.0309743131234528,"*",""
"Starch","HZ1 (North-Coast)","HZ2 (North-Desert)",50,50,0.9319,0.351382647036321,0.405441515811139,"ns",""
"Starch","HZ1 (North-Coast)","HZ3 (Coast-Desert)",50,50,-3.4546,0.000551173696010522,0.00103345068001973,"**",""
"Starch","HZ2 (North-Desert)","HZ3 (Coast-Desert)",50,50,-4.3865,1.15200018876225e-05,3.45600056628675e-05,"****",""
"β-glucan","North","Coast",40,50,5.3078,1.10956455890233e-07,3.32869367670698e-07,"****",""
"β-glucan","North","Desert",40,50,4.9475,7.51833154963147e-07,1.6110710463496e-06,"****","North_vs_Desert"
"β-glucan","North","HZ1 (North-Coast)",40,50,-0.6328,0.52685044075679,0.65616828922777,"ns",""
"β-glucan","North","HZ2 (North-Desert)",40,50,0.0074,0.994057202154965,0.994057202154965,"ns",""
"β-glucan","North","HZ3 (Coast-Desert)",40,50,4.4101,1.03335574043646e-05,1.72225956739409e-05,"****",""
"β-glucan","Coast","Desert",50,50,-0.3822,0.702324352202411,0.752490377359726,"ns",""
"β-glucan","Coast","HZ1 (North-Coast)",50,50,-6.301,2.9576962566849e-10,4.43654438502735e-09,"****",""
"β-glucan","Coast","HZ2 (North-Desert)",50,50,-5.6219,1.88899541080373e-08,9.44497705401867e-08,"****",""
"β-glucan","Coast","HZ3 (Coast-Desert)",50,50,-0.9522,0.341004417971758,0.511506626957636,"ns",""
"β-glucan","Desert","HZ1 (North-Coast)",50,50,-5.9188,3.24308410860623e-09,2.43231308145467e-08,"****",""
"β-glucan","Desert","HZ2 (North-Desert)",50,50,-5.2397,1.60849202591858e-07,4.02123006479644e-07,"****",""
"β-glucan","Desert","HZ3 (Coast-Desert)",50,50,-0.57,0.568679183997401,0.65616828922777,"ns",""
"β-glucan","HZ1 (North-Coast)","HZ2 (North-Desert)",50,50,0.6791,0.497069263794953,0.65616828922777,"ns",""
"β-glucan","HZ1 (North-Coast)","HZ3 (Coast-Desert)",50,50,5.3488,8.85405725093105e-08,3.32027146909914e-07,"****",""
"β-glucan","HZ2 (North-Desert)","HZ3 (Coast-Desert)",50,50,4.6697,3.0165581740606e-06,5.65604657636363e-06,"****",""
"Fiber","North","Coast",40,50,3.3343,0.000855173587417615,0.0018325148301806,"**",""
"Fiber","North","Desert",40,50,6.5902,4.39343781116952e-11,6.59015671675428e-10,"****","North_vs_Desert"
"Fiber","North","HZ1 (North-Coast)",40,50,1.2746,0.202438121434424,0.233582447808951,"ns",""
"Fiber","North","HZ2 (North-Desert)",40,50,1.4242,0.15439921422282,0.192999017778525,"ns",""
"Fiber","North","HZ3 (Coast-Desert)",40,50,4.4203,9.85499589578829e-06,3.69562346092061e-05,"****",""
"Fiber","Coast","Desert",50,50,3.4534,0.000553619686851352,0.00166085906055406,"**",""
"Fiber","Coast","HZ1 (North-Coast)",50,50,-2.1846,0.0289186790536893,0.0433780185805339,"*",""
"Fiber","Coast","HZ2 (North-Desert)",50,50,-2.026,0.042765230465175,0.0583162233616022,"ns",""
"Fiber","Coast","HZ3 (Coast-Desert)",50,50,1.1519,0.249354017232972,0.267165018463899,"ns",""
"Fiber","Desert","HZ1 (North-Coast)",50,50,-5.638,1.72068591185901e-08,1.29051443389426e-07,"****",""
"Fiber","Desert","HZ2 (North-Desert)",50,50,-5.4794,4.26842389317685e-08,2.13421194658842e-07,"****",""
"Fiber","Desert","HZ3 (Coast-Desert)",50,50,-2.3015,0.0213659408384859,0.0356099013974766,"*",""
"Fiber","HZ1 (North-Coast)","HZ2 (North-Desert)",50,50,0.1586,0.873985873881249,0.873985873881249,"ns",""
"Fiber","HZ1 (North-Coast)","HZ3 (Coast-Desert)",50,50,3.3365,0.00084836417792419,0.0018325148301806,"**",""
"Fiber","HZ2 (North-Desert)","HZ3 (Coast-Desert)",50,50,3.1779,0.00148337984600236,0.00278133721125443,"**",""
